NodeId,Text,Background,BGM,CharacterType,Expression,Pose,CharacterPosition,CharacterEffect,VoiceId,SFX,Transition,Choices,AnimType,TextEffect,SkipFlag,NextNodeId
N001,A new semester has begun.,,,,,,,,,,,,,,True,
N002,I feel like something special will happen today...,,,,,,,,,,,,,,True,
N003,"Hey, want to play games after school?",,,,,,,,,,,,,,True,
N004,Hi! Do you want to study together today?,,,,,,,,,,,,,,True,
N005,"Wow, the weather is nice. Want to go for a walk?",,,,,,,,,,,,,,True,
N006,Who should I spend time with?,,,,,,,,,,,Hang out with male friend:N009;Be with Girl 1:N010;Be with Girl 2:N011,,,True,
N007,Choices have been presented.,,,,,,,,,,,,,,True,
N008,"Alright, I've made up my mind.",,,,,,,,,,,,,,True,
N009,I knew you were my best friend!,,,,,,,,,,,,,,True,
N010,Studying together will be fun.,,,,,,,,,,,,,,True,
N011,Let's chat while taking a walk.,,,,,,,,,,,,,,True,
N012,"Time passed, and it became after school.",,,,,,,,,,,,,,True,
N013,Today went by so fast.,,,,,,,,,,,,,,True,
N014,But another choice awaits.,,,,,,,,,,,,,,True,
N015,Who should I get closer to?,,,,,,,,,,,Stay with male friend:N016;Stay with Girl 1:N017;Stay with Girl 2:N018,,,True,
N016,I never thought you'd care for me this much.,,,,,,,,,,,,,,True,
N017,I feel safe with you by my side.,,,,,,,,,,,,,,True,
N018,I'm glad you're here on a day like this.,,,,,,,,,,,,,,True,
N019,The night grew late.,,,,,,,,,,,,,,True,
N020,I wonder what tomorrow will bring.,,,,,,,,,,,,,,True,
N021,The moment of fate has arrived.,,,,,,,,,,,,,,True,
N022,Will you stay my best friend forever?,,,,,,,,,,,,,,True,
N023,I want to keep studying with you.,,,,,,,,,,,,,,True,
N024,Let's take another walk tomorrow.,,,,,,,,,,,,,,True,
N025,This is the final choice.,,,,,,,,,,,,,,True,
N026,Who will I really be with?,,,,,,,,,,,Stay with male friend until the end:N031;Promise a future with Girl 1:N031;Choose a new path with Girl 2:N032,,,True,
N027,Fate will split depending on your choice.,,,,,,,,,,,,,,True,
N028,My answer is...,,,,,,,,,,,,,,True,
N029,Your voice echoes through the silent classroom.,,,,,,,,,,,,,,True,
N030,I've decided.,,,,,,,,,,,,,,True,
N031,Happy ending! Everyone smiles together.,,,,,,,,,,,,,,True,
N032,"Tragic ending... Alone in the rain, you disappear.",,,,,,,,,,,,,,True,
